# Source: /home/z/my-project/work/mmnova/decompiled data/03_listings/dispatch/dsp1_kernel_P0000-0B4D.txt
# Region: $A00..$C00

000A00: neg a                    ; 200036
000A01: and x0,a                 ; 200046
000A02: move #$0,a2              ; 2A0000
000A03: add x1,a a,l:?:>$c2      ; 487060 0000C2
000A05: add x1,b                 ; 200068
000A06: move a1,r4               ; 219400
000A07: move b,l:?:>$c4          ; 497000 0000C4
000A09: add #>$4000,a            ; 0140C0 004000
000A0B: add #>$4000,b            ; 0140C8 004000
000A0D: move a1,r5               ; 219500
000A0E: move b,l:?:>$c5          ; 497000 0000C5
000A10: move x:(r7-$8d),a        ; 0A77CE FFFF73
000A12: move y:(r7-$8d),a0       ; 0B77C8 FFFF73
000A14: asl #$4,a,a              ; 0C1D08
000A15: move x:(r7-$86),b        ; 0A77CF FFFF7A
000A17: move y:(r7-$86),b0       ; 0B77C9 FFFF7A
000A19: add a,b #$40,r0          ; 304018
000A1A: and x0,b #$62,r1         ; 31624E
000A1B: move #>$3fff,m4          ; 05F424 003FFF
000A1D: move b1,x:(r7-$86)       ; 0A778D FFFF7A
000A1F: move b0,y:(r7-$86)       ; 0B7789 FFFF7A
000A21: move m4,m5               ; 0465A4
000A22: move y:(r6+$14),a        ; 0256BE
000A23: sub #>$400000,a          ; 0140C4 400000
000A25: bmi func_000a29          ; 0D104B 000004
000A27: move #$62,r0             ; 306200
000A28: move #$40,r1             ; 314000
000A29: move y:(r4)+,a           ; 5EDC00
000A2A: move y:(r4)+,b           ; 5FDC00
000A2B: do #<$10,>$a2f           ; 061080 000A2E
000A2D: move a,x:(r0)+ y:(r4)+,a ; FA1800
000A2E: move b,x:(r0)+ y:(r4)+,b ; FF1800
000A2F: move a,x:(r0)+ y:(r5)+,a ; FA3800
000A30: move b,x:(r0)+ y:(r5)+,b ; FF3800
000A31: do #<$11,>$a35           ; 061180 000A34
000A33: move a,x:(r1)+ y:(r5)+,a ; FA3900
000A34: move b,x:(r1)+ y:(r5)+,b ; FF3900
000A35: move #>$ffffff,m4        ; 05F424 FFFFFF
000A37: move m4,m5               ; 0465A4
000A38: move x:>$fe,y1           ; 47F000 0000FE
000A3A: move x:(r7-$8d),x1       ; 0A77C5 FFFF73
000A3C: move y:(r7-$8d),x0       ; 0B77C4 FFFF73
000A3E: mpysu y1,x0,b            ; 0127AC
000A3F: dmac ss y1,x1,b          ; 0124A7
000A40: asl b #>$40,a            ; 56F43A 000040
000A42: move y:>$c2,a0           ; 58F000 0000C2
000A44: move b1,y1               ; 21A700
000A45: move b0,y0               ; 212600
000A46: asr b #>$7fffff,x1       ; 45F42A 7FFFFF
000A48: move #$22,n0             ; 382200
000A49: move n0,n1               ; 231900
000A4A: move b0,x0               ; 212400
000A4B: move a0,b                ; 210F00
000A4C: lsr b a1,r0              ; 21902B
000A4D: move #$e0,r1             ; 31E000
000A4E: do #<$11,>$a53           ; 061180 000A52
000A50: add y,a a,l:(r1)         ; 486130
000A51: add x0,b b1,y:(r1)+      ; 5D5948
000A52: and x1,b                 ; 20006E
000A53: move #$2f,r2             ; 322F00
000A54: move r2,r3               ; 225300
000A55: move y:>$e0,y0           ; 4EF000 0000E0
000A57: move #$e1,r4             ; 34E100
000A58: move x:(r0)+,x1          ; 45D800
000A59: move #$f,m2              ; 050FA2
000A5A: jsr func_000397          ; 0D0397
000A5B: move #>$ffffff,m2        ; 05F422 FFFFFF
000A5D: move y:(r6+$16),b        ; 025EBF
000A5E: asr #$10,b,b             ; 0C1CA1
000A5F: move #>$144ac7,r3        ; 63F400 144AC7
000A61: move b,n3                ; 21FB00
000A62: move #$20,r1             ; 312000
000A63: move x:(r3+n3),b         ; 57EB00
000A64: asr b b,y0               ; 21E62A
000A65: add #>$800000,b          ; 0140C8 800000
000A67: move #$62,r4             ; 346200
000A68: neg b #$30,r0            ; 30303E
000A69: move y:(r7-$88),a        ; 0B77CE FFFF78
000A6B: move y:(r7-$89),x0       ; 0B77C4 FFFF77
000A6D: move x:(r7-$89),x1       ; 0A77C5 FFFF77
000A6F: move x:(r1+$1f),y1       ; 0279D7
000A70: move y1,y:(r7-$89)       ; 0B7787 FFFF77
000A72: move x:(r1+$f),y1        ; 0239D7
000A73: move y1,x:(r7-$89)       ; 0A7787 FFFF77
000A75: move b,y1                ; 21E700
000A76: move x:(r7-$88),b        ; 0A77CF FFFF78
000A78: do #<$10,>$a80           ; 061080 000A7F
