| Компонент | Листинг | Таблица | Алгоритм понятен | Bit-accurate возможно? |
|-----------|---------|---------|------------------|------------------------|
| **Фильтр LP** | ✅ 5 машин | ✅ P:$144AC7 | ✅ biquad-recursion | ✅ **ДА** |
| **Дисторшн** | ✅ 4 машины | — | ✅ saturation mode | ✅ **ДА** |
| **Биткраш (m33)** | ✅ | ✅ P:$101AFB/BFB/CFB | ⚠️ частично (downsample) | ⚠️ нужен анализ pitch-lookup |
| **Хорус** | ✅ | ✅ X:$14A000/$14A800 | ✅ полностью | ✅ **ДА** (уже сделано) |
| **Phaser** | ✅ | ✅ 4 all-pass tables | ⚠️ inline LFO | ⚠️ 80% (LFO-фаза нужно отдельно) |
| **Flanger** | ✅ | ✅ X:$114000 | ⚠️ inline LFO | ⚠️ 80% |
| **Reverb** | ✅ 1263 строк | ✅ P:$123EF5/$133191 | ❌ алгоритм complex | ❌ нужен серьёзный анализ |
| **Compressor (FX-DYN)** | ✅ 155 строк | ✅ attack/release/RMS | ⚠️ short, нужен анализ | ⚠️ 70% |
| **Ring mod** | ✅ | — | ✅ simple | ✅ **ДА** |
| **Delay (m32)** | ✅ | ✅ X:$114000 | ⚠️ нужен анализ | ⚠️ 70% |
| **EQ** | ❌ **НЕ СУЩЕСТВУЕТ** | — | — | — |
| **LFO** | ✅ inline | ✅ Y:$0132 + Y:$0334 | ✅ accumulator + sine | ✅ **ДА** |
| **Кривые параметров** | — | ❌ не декодированы | ❌ | ❌ |

