# source_path	size	git_blob_sha	sha256	action	clean_path	reason
1 try/CMakeLists.mmnova.txt	1266	59212e0bea86a5a299d9f92e1bc7fef877542494	a2351123c81c68321c4dbaa380853f842ab1c7846c2403531ad91a081f05edf3	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/README_PORT.md	8200	c3ab57e5226ee8d7232f596fbc68cf549f29b67f	52e1d1a0936d1be7dd7c45c940965028999a897a3ce853ea669cdd6165b9d58b	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMDescriptors.cpp	5073	350c34d2ac14279f7d7c5e133e1f38fa584e80d1	d232a9c4718fc5c74de8bd15a65f21a1d0922881669ec2ca0d257d19eac0c76c	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMDescriptors.h	1182	0fe692cdc3608c2908c2403c2123c6ff689b36f1	89b1e50b1b519d4d00a773783d75af347188db7f06e3b90021c7103b190d2319	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMEngine.cpp	4020	8b8acf1b27aa90d8b841c65bbf233394ebf2e5d9	f1a315730420be841c2066828e35a5a828aa903c63199e25a1de2389e1e2ddf0	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMEngine.h	3451	a4c5938d5777f861355586659f592f127c8de234	02716f2b3486826e80c7a9b33fa84b39a1f492a0828adb497d9f84514e316884	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMFixed.h	4211	19ddd62f1559118a4bf1482a1041f53b7dd40161	3acd09513e7adc189a314ae06b02a3a68a785e80e138b62979678571eb5cf15f	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMMachine.h	4876	d8b1b1d8bda3341a68d00e4662cba5b4ef42511d	12c82c74823f1ee6a1b114771d368e280dbb07d7b96f33816294352f7ec3bef6	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMMachineFactory.h	3108	55448bda29bc3360b972bd582a27a42ba7662ca4	0a79c6720b033a9e6d518b2701c3e0380cde3f0485c61fb13922c16e68e861fc	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMTables.cpp	4526	1fb68d86e810b92c5bbca45efa2afeae033ff793	512f65764bf867acc5de29b0ce25990e24e37acff615f621b4ac30ca2e06b48b	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMTables.h	2871	e834c04b09c3e7dc31fb62ed1aa2bdb978c8ee66	7edd7c3e569e12bb236054296b7851861f50029065ec986ecd50cad687d3a2d9	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMVoice.cpp	7923	d68e47b0d5e418a1cbf62984bf7bf3fd0d8a40dd	bd827143924f55de0acd53f9a31eb92330c1b2276df47514690a6580efcfb5e8	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/MnMVoice.h	4550	4ac4ace9a1a948a4c3b21e5c6bd7bcd189610db6	fbd9ef174bc1d1b3f89f3e3060e5de83ebfd1a8a8c73906aa53155743c5665e9	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMDpro.h	7494	8b149ca9f983557c31047dc4d008fcef7c6f607f	325672233bda4604751eae45d2c2ad4d681e36e5f4673eb8d95657c9ed8ba77e	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMFm.h	8479	82d9aea1721715c461283d25aca6519bc3b8abf9	d58265696d5710c757179ea5337a4655f8890845addc0b3013c4e360e0dc3cb5	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMFxChorus.h	5963	c4f0b7f920ef8fd9feca79e1ab015143ead3a6cd	ee001582b047903cbe0135d25133962743856b81dcf8f3b7994c9c5b42e870b2	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMFxMisc.h	13763	8eaeb16a127643c4a99a143d9cab97c8d1005314	728a5b82027f446915407389673a5d26f207cfe0235714e389b5cb6f303f5de0	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMGnd.h	3035	37e450a77d084f5ab6258b44dc701244dd91edbe	8e35296ab4a23ad1b60b0b77f5db5d818db7d45fbad6387f4a7eac12689b6766	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMOsc.h	3360	edc8a2b33c77039a98cbadd998d29721100a9f4e	e76f18c3dea4a324fdd4073a1ec968125059b23db0f76187a39f5116716947aa	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMSid.h	3888	7af2c4bfef6f9cb0313fc55678b7ccbb3d2030e5	7d1ccbb23d36aff0b962162979cf3d0419604c3417286ffdb63debadc51095b1	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMSwave.h	7708	fb0cb6dbe36501e196555a89bc711cc0bab294c6	03e6c2a6454ed4dfe06b5a2f05bfdf9d9cde2f866af4cea6499dc8c51bd5a324	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/machines/MnMVo6.h	3561	4ad5903820cffc1efe5ee6701232f71b793de2a3	e3fa2c492166ac43777695533248e1fb2714d60f9f668378c2b5b52e3d1d331b	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
1 try/Source/mmnova/mmnova.cpp	406	e96328c9dd05dc0a39f1e8954b48bc1e7ddbccbe	8bf8ba3891e07cdd138755a321d9756846bf95d480b187ea95eae46a8a63bb56	DELETE_UNPROVEN_ITERATION		fallback tables/float or analytic approximations; mixed exactness
