144446  0438FB
144447  047522
144448  04B4A1
144449  04F7AA
14444A  053E6D
14444B  058920
14444C  05D7FB
14444D  062B39
14444E  06831A
14444F  06DFDE
144450  0741CB
144451  07A92C
144452  08164D
144453  088981
144454  09031E
144455  09837F
144456  0A0B05
144457  0A9A16
144458  0B311C
144459  0BD08A
14445A  0C78D7
14445B  0D2A82
14445C  0DE60F
14445D  0EAC0C
14445E  0F7D0E
14445F  1059B1
144460  11429B
144461  12387A
144462  133C09
144463  144E08
144464  156F47
144465  16A09E
144466  17E2F3
144467  193738
144468  1A9E6B
144469  1C199C
14446A  1DA9E6
14446B  1F5076
14446C  210E8A
14446D  22E570
14446E  24D68B
14446F  26E34E
144470  290D45
144471  2B5610
144472  2DBF64
144473  304B13
144474  32FB05
144475  35D13F
144476  38CFE2
144477  3BF92E
144478  3F4F83
144479  42D562
14447A  468D70
14447B  4A7A78
14447C  4E9F6D
14447D  52FF6B
14447E  579DBC
14447F  5C7DD8
144480  61A366
144481  671246
144482  6CCE8B
144483  72DC83
144484  7940BC
144485  7FFFFF
144486  7FFFFF
144487  7FFFFF
144488  7FFFFF
144489  7FFFFF
14448A  7FFFFF
14448B  7FFFFF
14448C  7FFFFF
14448D  7FFFFF
14448E  7FFFFF
14448F  7FFFFF
144490  7FFFFF
144491  7FFFFF
144492  7FFFFF
144493  7FFFFF
144494  7FFFFF
144495  7FFFFF
144496  7FFFFF
144497  7FFFFF
144498  7FFFFF
144499  7FFFFF
14449A  7FFFFF
14449B  7FFFFF
14449C  7FFFFF
14449D  7FFFFF
14449E  7FFFFF
14449F  7FFFFF
1444A0  7FFFFF
1444A1  7FFFFF
1444A2  7FFFFF
1444A3  7FFFFF
1444A4  7FFFFF
1444A5  7FFFFF
1444A6  7FFFFF
1444A7  7FFFFF
1444A8  7FFFFF
1444A9  7FFFFF
1444AA  7FFFFF
1444AB  7FFFFF
1444AC  7FFFFF
1444AD  7FFFFF
1444AE  7FFFFF
1444AF  7FFFFF
1444B0  7FFFFF
1444B1  7FFFFF
1444B2  7FFFFF
1444B3  7FFFFF
1444B4  7FFFFF
1444B5  7FFFFF
1444B6  7FFFFF
1444B7  7FFFFF
1444B8  7FFFFF
1444B9  7FFFFF
1444BA  7FFFFF
1444BB  7FFFFF
1444BC  7FFFFF
1444BD  7FFFFF
1444BE  7FFFFF
1444BF  7FFFFF
1444C0  7FFFFF
1444C1  7FFFFF
1444C2  7FFFFF
1444C3  7FFFFF
1444C4  7FFFFF
1444C5  7FFFFF
